,purchase_id,customer_id,product_id,quantity,purchase_date,store,name,city,signup_date,product_name,category,price,total_price
0,T0001,C011,P042,1,2023-01-01 00:00:00,Store C,Michael Rodriguez,Seattle,2023-01-31,Dumbbells,Sports,402.17,402.17
1,T0002,C070,P001,2,2023-01-01 04:00:00,Store A,Eric Brown,Sacramento,2023-07-27,Laptop,Electronics,1097.56,2195.12
2,T0003,C075,P029,1,2023-01-01 08:00:00,Store A,Alice Wilson,Los Angeles,2023-08-11,Candle,Home & Garden,162.72,162.72
3,T0004,C053,P045,1,2023-01-01 12:00:00,Store C,Diana Kim,Sacramento,2023-06-06,Running Shoes,Sports,400.96,400.96
4,T0005,C079,P049,3,2023-01-01 16:00:00,Store B,Hannah Patel,Portland,2023-08-23,Bicycle,Sports,60.58,181.74
5,T0006,C010,P035,1,2023-01-01 20:00:00,Store C,Bob Jackson,Los Angeles,2023-01-28,Magazine,Books,21.74,21.74
6,T0007,C011,P040,3,2023-01-02 00:00:00,Store C,Michael Rodriguez,Seattle,2023-01-31,Reference Book,Books,30.45,91.35
7,T0008,C092,P014,1,2023-01-02 04:00:00,Store C,Steve Garcia,Los Angeles,2023-10-01,Jacket,Clothing,145.27,145.27
8,T0009,C060,P035,1,2023-01-02 08:00:00,Store B,Alice Brown,Portland,2023-06-27,Magazine,Books,21.74,21.74
9,T0010,C030,P048,1,2023-01-02 12:00:00,Store B,Teresa Davis,Seattle,2023-03-29,Jump Rope,Sports,197.16,197.16
10,T0011,C074,P045,3,2023-01-02 16:00:00,Store B,Teresa Wilson,San Diego,2023-08-08,Running Shoes,Sports,400.96,1202.88
11,T0012,C089,P020,1,2023-01-02 20:00:00,Store A,Hannah Lee,San Diego,2023-09-22,Scarf,Clothing,42.03,42.03
12,T0013,C044,P049,1,2023-01-03 00:00:00,Store B,Quinn Singh,Sacramento,2023-05-10,Bicycle,Sports,60.58,60.58
13,T0014,C081,P013,4,2023-01-03 04:00:00,Store A,Charlie Anderson,San Diego,2023-08-29,Sweater,Clothing,145.67,582.68
14,T0015,C022,P038,1,2023-01-03 08:00:00,Store A,Ian Rodriguez,Seattle,2023-03-05,Self-Help,Books,44.68,44.68
15,T0016,C015,P049,2,2023-01-03 12:00:00,Store B,Kevin Jackson,Seattle,2023-02-12,Bicycle,Sports,60.58,121.16
16,T0017,C075,P046,2,2023-01-03 16:00:00,Store B,Alice Wilson,Los Angeles,2023-08-11,Water Bottle,Sports,446.65,893.3
17,T0018,C075,P049,1,2023-01-03 20:00:00,Store B,Alice Wilson,Los Angeles,2023-08-11,Bicycle,Sports,60.58,60.58
18,T0019,C082,P008,2,2023-01-04 00:00:00,Store A,Rachel Rodriguez,San Francisco,2023-09-01,Webcam,Electronics,1376.55,2753.1
19,T0020,C087,P043,1,2023-01-04 04:00:00,Store C,Alice Rodriguez,Los Angeles,2023-09-16,Tennis Racket,Sports,330.23,330.23
20,T0021,C099,P020,2,2023-01-04 08:00:00,Store B,Oscar Chen,Seattle,2023-10-22,Scarf,Clothing,42.03,84.06
21,T0022,C074,P033,1,2023-01-04 12:00:00,Store B,Teresa Wilson,San Diego,2023-08-08,Biography,Books,38.1,38.1
22,T0023,C057,P026,2,2023-01-04 16:00:00,Store B,Ian Chen,Seattle,2023-06-18,Rug,Home & Garden,190.28,380.56
23,T0024,C091,P039,1,2023-01-04 20:00:00,Store A,Alice Davis,Seattle,2023-09-28,Poetry,Books,46.53,46.53
24,T0025,C051,P021,2,2023-01-05 00:00:00,Store A,Fiona Miller,Sacramento,2023-05-31,Coffee Maker,Home & Garden,173.69,347.38
25,T0026,C067,P049,1,2023-01-05 04:00:00,Store C,Quinn Martinez,Seattle,2023-07-18,Bicycle,Sports,60.58,60.58
26,T0027,C021,P042,1,2023-01-05 08:00:00,Store B,Hannah Brown,San Francisco,2023-03-02,Dumbbells,Sports,402.17,402.17
27,T0028,C008,P043,1,2023-01-05 12:00:00,Store A,George Brown,San Diego,2023-01-22,Tennis Racket,Sports,330.23,330.23
28,T0029,C099,P041,1,2023-01-05 16:00:00,Store C,Oscar Chen,Seattle,2023-10-22,Yoga Mat,Sports,258.24,258.24
29,T0030,C093,P009,3,2023-01-05 20:00:00,Store B,Nina Rodriguez,Los Angeles,2023-10-04,USB Cable,Electronics,586.73,1760.19
30,T0031,C085,P024,1,2023-01-06 00:00:00,Store A,Ian Patel,Portland,2023-09-10,Lamp,Home & Garden,177.47,177.47
31,T0032,C065,P037,4,2023-01-06 04:00:00,Store B,Patricia Anderson,Portland,2023-07-12,Travel Guide,Books,42.4,169.6
32,T0033,C038,P049,4,2023-01-06 08:00:00,Store B,Alice Kim,Seattle,2023-04-22,Bicycle,Sports,60.58,242.32
33,T0034,C035,P041,2,2023-01-06 12:00:00,Store A,Quinn Martinez,Sacramento,2023-04-13,Yoga Mat,Sports,258.24,516.48
34,T0035,C048,P017,1,2023-01-06 16:00:00,Store A,Kevin Singh,San Francisco,2023-05-22,Socks,Clothing,70.06,70.06
35,T0036,C076,P024,1,2023-01-06 20:00:00,Store A,Teresa Brown,Los Angeles,2023-08-14,Lamp,Home & Garden,177.47,177.47
36,T0037,C086,P021,3,2023-01-07 00:00:00,Store B,Alice Patel,Portland,2023-09-13,Coffee Maker,Home & Garden,173.69,521.07
37,T0038,C083,P039,1,2023-01-07 04:00:00,Store B,Rachel Martinez,Portland,2023-09-04,Poetry,Books,46.53,46.53
38,T0039,C052,P041,1,2023-01-07 08:00:00,Store C,Charlie Patel,Los Angeles,2023-06-03,Yoga Mat,Sports,258.24,258.24
39,T0040,C099,P039,2,2023-01-07 12:00:00,Store B,Oscar Chen,Seattle,2023-10-22,Poetry,Books,46.53,93.06
40,T0041,C088,P013,3,2023-01-07 16:00:00,Store A,Patricia Patel,San Francisco,2023-09-19,Sweater,Clothing,145.67,437.01
41,T0042,C076,P011,3,2023-01-07 20:00:00,Store B,Teresa Brown,Los Angeles,2023-08-14,T-Shirt,Clothing,140.68,422.04
